rule_id,group,description,wn_min,wn_max,intensity,shape,condition_notes,truth_smarts_group,source_book,edition,table,page,frozen,source_quote,requires_wn_min,requires_wn_max,forbids_wn_min,forbids_wn_max,stratum,tier
SMITH-BR8-AMN1-WAG,primary amine,NH2 out-of-plane bend (wag) of a primary amine,750.0,850.0,any,broad,Text: somewhat broadened,amine_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,NH2 out-of-plane bend 850-750 (same for saturated and aromatic),,,,,main,group
SMITH-BR8-AMN2-SAT-NH,secondary saturated amine,"N-H stretch of a saturated secondary amine, one band",3280.0,3320.0,any,any,Needs amine_secondary truth group,amine_secondary_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 4,20-26,yes,N-H stretches | Saturated 3320-3280 | Aromatic ~3400,,,,,main,group
SMITH-BR8-AMN2-AR-NH,secondary aromatic amine,"N-H stretch of an aromatic secondary amine, one band",3380.0,3420.0,any,any,"Source gives only a centre (~3400); window set to 3400+-20 by decision D7, the tolerance of the neighbouring N-H windows in the same table",amine_secondary_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 4,20-26,yes,N-H stretches | Aromatic ~3400,,,,,main,group
SMITH-BR8-AMN2-SAT-CNC,secondary saturated amine,C-N-C asymmetric stretch of a saturated secondary amine,1130.0,1180.0,any,any,,amine_secondary_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 4,20-26,yes,C-N-C asymmetric stretch | Saturated 1180-1130 | Aromatic 1350-1250,,,,,main,group
SMITH-BR8-AMN2-AR-CNC,secondary aromatic amine,C-N-C asymmetric stretch of an aromatic secondary amine,1250.0,1350.0,any,any,,amine_secondary_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 4,20-26,yes,C-N-C asymmetric stretch | Aromatic 1350-1250,,,,,main,group
SMITH-BR8-AMN2-WAG,secondary amine,N-H wag of a secondary amine,700.0,750.0,any,any,,amine_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 4,20-26,yes,N-H wag 750-700 (same for saturated and aromatic),,,,,main,group
SMITH-BR8-NH-ANY,N-H bond,N-H stretch window shared by amines and amides,3300.0,3500.0,any,any,"Value stated in the article text, not in a numbered table. Same window as O-H; discriminated by width (N-H envelope about 400 cm-1, O-H over 1000)",n_h_any,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",,20-26,yes,"These bands show up in the 3500-3300, range right where O-H stretches fall",,,,,main,class
SMITH-ALD17-SAT-CO,saturated aldehyde,C=O stretch of a saturated aldehyde,1720.0,1740.0,strong,any,"Value stated in the article text, not in a numbered table",aldehyde_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The C=O Bond, Part II: Aldehydes, 2017, 32(11)",,31-36,yes,for saturated aldehydes this peak falls at 1730 +- 10,,,,,main,group
SMITH-ALD17-AR-CO,aromatic aldehyde,C=O stretch of an aromatic aldehyde,1685.0,1710.0,strong,any,"Value stated in the article text, not in a numbered table",aldehyde_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The C=O Bond, Part II: Aldehydes, 2017, 32(11)",,31-36,yes,"For aromatic aldehydes the C=O stretch falls in a lower wavenumber range, from 1710 to 1685",,,,,main,group
SMITH-ALD17-CH-STR,aldehyde,"Aldehydic C-H stretch, typically a doublet",2700.0,2850.0,any,any,"Value stated in the article text, not in a numbered table. Example spectrum: 2822 and 2724 (the latter nominally the C-H bend overtone)",aldehydes,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The C=O Bond, Part II: Aldehydes, 2017, 32(11)",,31-36,yes,a lowering of the aldehydic C-H stretch to the 2850-2700 range,,,,,main,group
SMITH-ALD17-CH-BEND,aldehyde,Aldehydic C-H bend,1380.0,1400.0,any,any,"Value stated in the article text, not in a numbered table. Source says around 1390; +-10 window is an editorial choice to be confirmed",aldehydes,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The C=O Bond, Part II: Aldehydes, 2017, 32(11)",,31-36,yes,Aldehydes also have an aldehydic C-H bending peak around 1390,,,,,main,group
SMITH-ALK16-CH-STR,alkene,=C-H stretch of alkenes,3000.0,3100.0,any,any,"Value stated in the article text, not in a numbered table. Shared with aromatic C-H",alkene,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",,,yes,Both aromatic rings and alkenes typically have their C-H stretches between 3100 and 3000,,,,,main,class
SMITH-ALK16-CC-STR,alkene,"C=C stretch of alkenes, any substitution",1630.0,1680.0,any,any,"Value stated in the article text, not in a numbered table",alkene,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",,,yes,a peak in the spectra of alkenes between 1680 and 1630,,,,,main,class
SMITH-ALK16-VINYL-CC,vinyl alkene,C=C stretch of a vinyl group,1630.0,1660.0,any,any,Needs alkene substitution pattern truth groups,alkene_vinyl,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,for vinyl groups generally this peak falls from 1660 to 1630,,,,,main,group
SMITH-ALK16-VINYL-WAG1,vinyl alkene,First C-H wag of a vinyl group,985.0,995.0,any,any,Pair with SMITH-ALK16-VINYL-WAG2,alkene_vinyl,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,990 +- 5 and 910 +- 5,,,,,main,group
SMITH-ALK16-VINYL-WAG2,vinyl alkene,Second C-H wag of a vinyl group,905.0,915.0,any,any,,alkene_vinyl,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,990 +- 5 and 910 +- 5,,,,,main,group
SMITH-ALK16-CIS-CC,cis alkene,C=C stretch of a cis-disubstituted alkene,1630.0,1660.0,any,any, NOT EVALUABLE: cis/trans needs stereo marks that most depositor SMILES lack (decision D6),,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,cis: from 1660 to 1630,,,,,main,group
SMITH-ALK16-CIS-WAG,cis alkene,C-H wag of a cis-disubstituted alkene,640.0,740.0,any,any,Wide tolerance in the source (+-50) NOT EVALUABLE: cis/trans needs stereo marks that most depositor SMILES lack (decision D6),,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,690 +- 50,,,,,main,group
SMITH-ALK16-TRANS-CC,trans alkene,C=C stretch of a trans-disubstituted alkene,1660.0,1680.0,any,any, NOT EVALUABLE: cis/trans needs stereo marks that most depositor SMILES lack (decision D6),,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,trans: from 1680 to 1660,,,,,main,group
SMITH-ALK16-TRANS-WAG,trans alkene,C-H wag of a trans-disubstituted alkene,960.0,970.0,any,any, NOT EVALUABLE: cis/trans needs stereo marks that most depositor SMILES lack (decision D6),,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,965 +- 5,,,,,main,group
SMITH-ALK16-TRISUB-CC,trisubstituted alkene,C=C stretch of a trisubstituted alkene,1660.0,1680.0,any,any,,alkene_trisubstituted,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,trisubstituted: from 1680 to 1660,,,,,main,group
SMITH-ALK16-TRISUB-WAG,trisubstituted alkene,C-H wag of a trisubstituted alkene,790.0,840.0,any,any,,alkene_trisubstituted,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Infrared Spectroscopy of Alkenes, 2016, 31(11)",Table II,,yes,815 +- 25,,,,,main,group
SMITH-ALY17-TERM-CH,terminal alkyne,Alkyne C-H stretch of a monosubstituted (terminal) alkyne,3250.0,3350.0,any,any,Needs terminal/internal alkyne split,alkyne_terminal,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","An IR Spectral Interpretation Potpourri: Carbohydrates and Alkynes, 2017, 32(7)",,,yes,this peak generally falls from 3350 to 3250 for monosubstituted alkynes,,,,,main,group
SMITH-ALY17-TERM-CC,terminal alkyne,C-C triple bond stretch of a monosubstituted alkyne,2100.0,2140.0,any,any,,alkyne_terminal,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","An IR Spectral Interpretation Potpourri: Carbohydrates and Alkynes, 2017, 32(7)",,,yes,between 2140 and 2100,,,,,main,group
SMITH-ALY17-INT-CC,internal alkyne,C-C triple bond stretch of a disubstituted alkyne,2190.0,2260.0,any,any,,alkyne_internal,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","An IR Spectral Interpretation Potpourri: Carbohydrates and Alkynes, 2017, 32(7)",,,yes,between 2260 and 2190,,,,,main,group
SMITH-ALY17-TERM-CH-BEND,terminal alkyne,Alkyne C-H bend of a monosubstituted alkyne,600.0,700.0,any,any,,alkyne_terminal,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","An IR Spectral Interpretation Potpourri: Carbohydrates and Alkynes, 2017, 32(7)",,,yes,generally from 700 to 600 for monosubstituted alkynes,,,,,main,group
SMITH-NIT19-SAT-CN,saturated nitrile,C-N triple bond stretch of a saturated nitrile,2240.0,2260.0,strong,sharp,Text: intense and sharp,nitrile_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds IV: Nitriles, 2019, 34(7)",,,yes,"For saturated nitriles, this peak falls from 2260 to 2240",,,,,main,group
SMITH-NIT19-AR-CN,aromatic nitrile,C-N triple bond stretch of an aromatic nitrile,2220.0,2240.0,strong,sharp,,nitrile_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds IV: Nitriles, 2019, 34(7)",,,yes,"For aromatic nitriles, this peak is found between 2240 and 2220",,,,,main,group
SMITH-NO2-20-ASYM,aromatic nitro,Asymmetric NO2 stretch,1500.0,1550.0,strong,any,Article covers aromatic nitro compounds only,nitro,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds X: Nitro Groups, An Explosive Proposition, 2020, 35(9)",,,yes,The asymmetric NO2 stretch typically falls from 1550 to 1500 cm-1,,,,,main,group
SMITH-NO2-20-SYM,aromatic nitro,Symmetric NO2 stretch,1330.0,1390.0,strong,any,,nitro,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds X: Nitro Groups, An Explosive Proposition, 2020, 35(9)",,,yes,this peak appears from 1390 cm-1 to 1330 cm-1,,,,,main,group
SMITH-NO2-20-SCIS,aromatic nitro,NO2 scissors bend,835.0,890.0,medium,any,,nitro,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds X: Nitro Groups, An Explosive Proposition, 2020, 35(9)",,,yes,a medium intensity peak from 890 cm-1 to 835 cm-1,,,,,main,group
SMITH-SALT19-NH3-STR,primary amine salt,NH3+ stretching envelope of a primary amine salt,2800.0,3200.0,any,broad,Needs an ammonium truth group (protonated amine),ammonium_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds V: Amine Salts, 2019, 34(9)",,,yes,NH+ stretching envelope falls from 3200 to 2800,,,,,salt,group
SMITH-SALT19-NH3-ASYM,primary amine salt,NH3+ asymmetric bend,1560.0,1625.0,any,any,,ammonium_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds V: Amine Salts, 2019, 34(9)",,,yes,asymmetric bend falls from 1625 to 1560,,,,,salt,group
SMITH-SALT19-NH3-SYM,primary amine salt,NH3+ symmetric bend,1500.0,1550.0,any,any,,ammonium_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds V: Amine Salts, 2019, 34(9)",,,yes,the symmetric bend from 1550 to 1500,,,,,salt,group
SMITH-SALT19-NH2-STR,secondary amine salt,NH2+ stretching envelope of a secondary amine salt,2700.0,3000.0,any,broad,,ammonium_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds V: Amine Salts, 2019, 34(9)",,,yes,envelope is found from 3000 to 2700,,,,,salt,group
SMITH-SALT19-NH2-BEND,secondary amine salt,NH2+ bend,1560.0,1620.0,any,any,,ammonium_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds V: Amine Salts, 2019, 34(9)",,,yes,NH+ bending band typically falls from 1620 to 1560,,,,,salt,group
SMITH-SALT19-NH-STR,tertiary amine salt,NH+ stretching envelope of a tertiary amine salt,2300.0,2700.0,any,broad,No NH+ bending peaks,ammonium_tertiary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds V: Amine Salts, 2019, 34(9)",,,yes,envelope falls from 2700 to 2300,,,,,salt,group
SMITH-SALT19-COMB,amine salt,Overtone and combination bands of amine salts,2000.0,2800.0,any,any,All three salt types. This is the window where salts mimic alkynes and nitriles (an IR trap for the analysis),,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Organic Nitrogen Compounds V: Amine Salts, 2019, 34(9)",,,yes,overtone-combination range from 2800 to 2000,,,,,salt,group
SMITH-BR4-BZ-MONO-BOTH,monosubstituted benzene,Out-of-plane C-H bending of a monosubstituted benzene ring together with the ring bend at 690+-10 (the rule as printed in Table III),710.0,770.0,any,any,"Composite rule: both bands required, as stated in the source",aromatic_mono,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Mono | 770-710 | Ring Bend Yes,680.0,700.0,,,main,group
SMITH-BR4-BZ-META-BOTH,meta-disubstituted benzene,Out-of-plane C-H bending of a meta-disubstituted benzene ring together with the ring bend at 690+-10 (the rule as printed in Table III),750.0,810.0,any,any,"Composite rule: both bands required, as stated in the source",aromatic_meta,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Meta | 810-750 | Ring Bend Yes,680.0,700.0,,,main,group
